股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
002999,天禾股份,347592000.0,342191550.0,2391432960.0,2354277864.0,化肥行业,20200903
300212,易华录,719892422.0,698182190.0,19307514758.04,18725246335.8,互联网服务,20110505
601921,浙版传媒,2222222223.0,422221962.0,18844444451.04,3580442237.76,文化传媒,20210723
300762,上海瀚讯,627965772.0,627965772.0,14769754957.44,14769754957.44,通信设备,20190314
300465,高伟达,443749357.0,443749357.0,7241989506.24,7241989506.24,软件开发,20150528
000573,粤宏远Ａ,638280604.0,632964819.0,2106325993.1999998,2088783902.6999998,房地产开发,19940815
301188,力诺药包,232450520.0,232450520.0,3805215012.4,3805215012.4,玻璃玻纤,20211111
300520,科大国创,291167418.0,277372655.0,8391444986.76,7993879917.1,软件开发,20160708
301106,骏成科技,101621335.0,29185334.0,3062867036.9,879645966.76,光学光电子,20220128
002791,坚朗五金,353885013.0,164304726.0,9533662250.220001,4426369318.440001,装修建材,20160329
002771,真视通,209764100.0,174514655.0,4209965487.0,3502509125.85,互联网服务,20150629
605369,拱东医疗,157578415.0,157578415.0,4812444794.099999,4812444794.099999,医疗器械,20200916
601113,华鼎股份,1104152226.0,1104152226.0,4372442814.96,4372442814.96,化纤行业,20110509
300763,锦浪科技,399447495.0,321534605.0,27430059481.65,22079781325.350002,光伏设备,20190319
301305,朗坤环境,243570700.0,126121950.0,4649764663.0,2407668025.5,环保行业,20230523
605289,罗曼股份,109619500.0,108337500.0,2617713660.0,2587099500.0,装修装饰,20210426
603176,汇通集团,466669126.0,150002460.0,2510679897.88,807013234.8,工程建设,20211231
600053,九鼎投资,433540800.0,433540800.0,7092727488.0,7092727488.0,多元金融,19970418
603351,威尔药业,135439132.0,135439132.0,3285753342.32,3285753342.32,化学制药,20190130
301217,铜冠铜箔,829015544.0,229015544.0,9168911916.640001,2532911916.6400003,电子元件,20220127
300536,*ST农尚,293288133.0,293253240.0,2058882693.6599998,2058637744.8,工程建设,20160920
301356,天振股份,216000000.0,54810000.0,4095360000.0,1039197600.0,塑料制品,20221114
300532,今天国际,449835386.0,428311291.0,5663427509.74,5392439153.69,互联网服务,20160818
002116,中国海诚,466056258.0,454158459.0,4949517459.96,4823162834.58,工程咨询服务,20070215
002109,兴化股份,1276269851.0,1276269851.0,4734961147.21,4734961147.21,化学原料,20070126
300732,设研院,324312818.0,323752341.0,2581530031.28,2577068634.36,工程咨询服务,20171212
002197,ST证通,614362928.0,534000687.0,2856787615.2000003,2483103194.55,计算机设备,20071218
300617,安靠智电,167360156.0,140591636.0,4602404290.0,3866269990.0,电网设备,20170228
603381,永臻股份,237256326.0,52312747.0,5577896224.26,1229872681.97,光伏设备,20240626
600844,丹化科技,1016524240.0,822730634.0,3446017173.6,2789056849.26,化学原料,19940311
003037,三和管桩,599074678.0,201009678.0,4337300668.72,1455310068.72,水泥建材,20210204
688237,超卓航科,89603310.0,44086271.0,2322517795.2000003,1142716144.3200002,航天航空,20220701
301518,长华化学,140178204.0,53455228.0,2608716376.44,994801793.0799999,化学制品,20230803
300890,翔丰华,119031443.0,106952083.0,3882805670.66,3488776947.4599996,电池,20200917
002436,兴森科技,1689597513.0,1500413206.0,19447267374.63,17269756001.06,电子元件,20100618
