序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
61,603353,和顺石油,15.95,10.0,1.45,82197.0,125924214.0,10.69,15.95,14.4,14.6,14.5,1.82,4.82,48.09,1.65,2765634300.0,2718167100.0,0.0,0.0,34.71,-38.08
62,603088,宁波精达,9.79,10.0,0.89,179383.0,172478420.0,9.55,9.79,8.94,8.95,8.9,0.98,4.12,27.09,5.87,4286765314.0,4264456332.0,0.0,0.0,60.76,17.53
63,603021,山东华鹏,6.38,10.0,0.58,311380.0,189531209.0,11.72,6.38,5.7,5.75,5.8,1.08,9.73,-15.74,19.46,2041268687.0,2041268687.0,0.0,0.0,132.85,-3.19
64,603002,宏昌电子,7.15,10.0,0.65,148195.0,105959203.0,0.0,7.15,7.15,7.15,6.5,0.2,1.34,165.63,2.36,8108661339.0,7880469854.0,0.0,0.0,67.45,14.77
65,003033,征和工业,31.35,10.0,2.85,42094.0,127851233.76,10.77,31.35,28.28,28.44,28.5,2.18,5.22,19.66,2.1,2562862500.0,2526751250.0,0.0,0.0,40.77,-11.21
66,002722,物产金轮,17.49,10.0,1.59,272234.0,471571308.03,11.07,17.49,15.73,15.9,15.9,2.82,15.51,23.9,1.42,3613099049.0,3069407865.0,0.0,0.0,53.83,14.91
67,002553,南方精工,15.4,10.0,1.4,731285.0,1100301426.24,10.0,15.4,14.0,14.0,14.0,1.59,29.16,86.61,4.64,5359200000.0,3862320000.0,0.0,0.0,75.6,28.33
68,002428,云南锗业,23.87,10.0,2.17,762369.0,1816079283.77,2.12,23.87,23.41,23.87,21.7,1.13,11.67,396.7,10.88,15589974400.0,15587960369.0,0.0,0.0,77.87,93.91
69,001209,洪兴股份,25.96,10.0,2.36,197974.0,493700802.35,19.03,25.96,21.47,23.95,23.6,1.53,49.14,35.62,2.66,3414329811.0,1045872820.0,0.0,0.0,88.53,45.76
70,000795,英洛华,12.54,10.0,1.14,2211768.0,2641432253.62,12.63,12.54,11.1,11.55,11.4,1.82,19.51,51.64,5.28,14216398652.0,14216398652.0,0.0,0.0,131.79,102.26
71,000759,中百集团,5.28,10.0,0.48,1662193.0,847974255.15,15.21,5.28,4.55,4.58,4.8,2.65,25.35,-8.12,1.83,3587952720.0,3462127812.0,0.0,0.0,71.99,20.82
72,605179,一鸣食品,19.7,9.99,1.79,205235.0,395132235.0,9.99,19.7,17.91,18.0,17.91,0.67,5.12,160.54,7.16,7899700000.0,7899700000.0,0.0,0.0,125.92,33.83
73,002820,桂发祥,21.14,9.99,1.92,991148.0,1957704585.38,19.98,21.14,17.3,19.75,19.22,8.33,49.52,89.18,4.57,4246355756.0,4231340247.0,0.0,0.0,200.28,88.41
