,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
125,588280,科创50ETF指数基金,0.775,0.7748,-0.03,0.033,4.45,1205296,92299096.0,0.741,0.775,0.74,0.742,4.72,12.0,1.24,-26.76,661323.0,543973.0,20454113.0,22.16,30952257.0,33.53,-10498144.0,-11.37,-13773284.0,-14.92,-6680828.0,-7.24,10,0.774,0.775,1004121008.0,778193781,778193781,2024-11-11,2024-11-11 16:11:36+08:00
126,512980,传媒ETF,0.828,0.8265,-0.18,0.035,4.41,2615552,211562980.0,0.783,0.828,0.781,0.793,5.93,6.33,0.97,-36.53,1856123.0,759429.0,5487821.0,2.59,2484564.0,1.17,3003257.0,1.42,8193518.0,3.87,-13681341.0,-6.47,5000,0.827,0.828,4130924400.0,3420405403,3420405403,2024-11-11,2024-11-11 16:11:55+08:00
127,159551,机器人产业ETF,1.068,1.0667,-0.12,0.045,4.4,98986,10385151.686,1.013,1.068,1.01,1.023,5.67,11.94,0.48,75.61,57039.0,41947.0,1131280.0,10.89,198302.0,1.91,932978.0,8.98,-532379.0,-5.13,-598901.0,-5.77,-464,1.068,1.069,82920923.0,88559546,88559546,2024-11-11,2024-11-11 15:34:21+08:00
128,516190,文娱传媒ETF,1.024,1.0263,0.22,0.043,4.38,64371,6447423.0,0.975,1.025,0.96,0.981,6.63,31.22,1.41,-6.59,30086.0,34285.0,657572.0,10.2,0.0,0.0,657572.0,10.2,-277213.0,-4.3,-380360.0,-5.9,-64,1.023,1.024,20618500.0,21113344,21113344,2024-11-11,2024-11-11 16:12:03+08:00
129,588370,科创50增强策略ETF,1.048,1.0513,0.31,0.044,4.38,412843,42800039.0,1.006,1.05,1.006,1.004,4.38,19.36,1.69,-9.32,220211.0,192632.0,5924749.0,13.84,2549997.0,5.96,3374752.0,7.88,-3697957.0,-8.64,-2226792.0,-5.2,-19,1.048,1.049,213272000.0,223509056,223509056,2024-11-11,2024-11-11 16:11:40+08:00
130,588180,科创50ETF基金,0.694,0.693,-0.14,0.029,4.36,2542384,174167197.0,0.662,0.694,0.662,0.665,4.81,4.39,1.36,-51.84,1550178.0,992206.0,37014303.0,21.25,53503603.0,30.72,-16489300.0,-9.47,-26642523.0,-15.3,-10371780.0,-5.96,6,0.693,0.694,5795853824.0,4022322554,4022322554,2024-11-11,2024-11-11 16:11:39+08:00
131,516050,科技龙头ETF,0.748,0.7496,0.21,0.031,4.32,235458,17375227.0,0.717,0.748,0.715,0.717,4.6,3.39,1.06,-18.87,148416.0,87042.0,4008748.0,23.07,632981.0,3.64,3375767.0,19.43,-2803003.0,-16.13,-1205745.0,-6.94,32,0.747,0.748,695228000.0,520030544,520030544,2024-11-11,2024-11-11 16:11:56+08:00
132,159738,云计算ETF沪港深,1.167,1.1705,0.3,0.048,4.29,46529,5343422.8,1.119,1.17,1.114,1.119,5.0,7.89,0.89,-43.17,20857.0,25672.0,105672.0,1.98,0.0,0.0,105672.0,1.98,-137164.0,-2.57,31492.0,0.59,8,1.166,1.167,58992667.0,68844442,68844442,2024-11-11,2024-11-11 15:34:09+08:00
133,588020,科创成长50ETF,1.171,1.1726,0.14,0.048,4.27,507626,58485732.0,1.125,1.172,1.123,1.123,4.36,15.68,1.23,24.88,250711.0,256915.0,5987985.0,10.24,6316271.0,10.8,-328286.0,-0.56,-4859031.0,-8.31,-1128954.0,-1.93,641,1.171,1.172,323791008.0,379159270,379159270,2024-11-11,2024-11-11 16:11:42+08:00
134,159586,计算机ETF南方,1.342,1.3387,-0.25,0.055,4.27,36292,4769078.306,1.264,1.342,1.264,1.287,6.06,6.05,0.56,-34.45,26004.0,10288.0,1082.0,0.02,-245664.0,-5.15,246746.0,5.17,281823.0,5.91,-282905.0,-5.93,150,1.341,1.342,60025923.0,80554789,80554789,2024-11-11,2024-11-11 15:34:06+08:00
135,512220,TMTETF,1.812,1.8089,-0.17,0.074,4.26,75076,13385684.0,1.733,1.812,1.733,1.738,4.55,3.07,1.12,8.86,24563.0,50513.0,1912920.0,14.29,5474260.0,40.9,-3561340.0,-26.61,-1307263.0,-9.77,-605657.0,-4.52,270,1.811,1.812,244467600.0,442975291,442975291,2024-11-11,2024-11-11 16:11:35+08:00
136,159511,通信ETF基金,1.117,1.1113,-0.51,0.045,4.2,91662,10004595.212,1.063,1.119,1.063,1.072,5.22,14.01,1.73,-48.65,49856.0,41806.0,640854.0,6.41,1574052.0,15.73,-933198.0,-9.33,-481859.0,-4.82,-158995.0,-1.59,-10,1.117,1.118,65444573.0,73101588,73101588,2024-11-11,2024-11-11 15:34:27+08:00
137,516330,物联网ETF,1.072,1.0727,0.07,0.043,4.18,8883,938455.0,1.03,1.072,1.03,1.029,4.08,1.85,1.37,0.98,5659.0,3224.0,246804.0,26.3,0.0,0.0,246804.0,26.3,-118474.0,-12.62,-128330.0,-13.67,-5,1.072,1.073,48071300.0,51532434,51532434,2024-11-11,2024-11-11 16:11:38+08:00
138,516260,物联网50ETF,0.923,0.9228,-0.02,0.037,4.18,21144,1929083.0,0.878,0.923,0.878,0.886,5.08,1.65,1.47,5.48,13703.0,7441.0,1246313.0,64.61,552508.0,28.64,693805.0,35.97,-833907.0,-43.23,-412407.0,-21.38,30,0.922,0.923,127882600.0,118035640,118035640,2024-11-11,2024-11-11 16:11:37+08:00
139,159896,物联网龙头ETF,0.864,0.8647,0.08,0.034,4.1,36767,3119955.662,0.83,0.867,0.83,0.83,4.46,5.25,1.41,33.04,26955.0,9812.0,300678.0,9.64,-14957.0,-0.48,315635.0,10.12,-256662.0,-8.23,-44017.0,-1.41,-53,0.865,0.866,70055960.0,60528349,60528349,2024-11-11,2024-11-11 15:35:03+08:00
140,159526,机器人指数ETF,1.207,1.2044,-0.22,0.047,4.05,113142,13436353.7,1.157,1.208,1.149,1.16,5.09,26.33,0.72,39.25,65292.0,47850.0,-396292.0,-2.95,718191.0,5.35,-1114483.0,-8.29,427414.0,3.18,-31122.0,-0.23,1134,1.206,1.207,42962964.0,51856298,51856298,2024-11-11,2024-11-11 15:34:42+08:00
141,561010,软件ETF基金,1.182,1.1833,0.11,0.046,4.05,62720,7290644.0,1.142,1.182,1.131,1.136,4.49,8.21,0.64,20.95,33737.0,28983.0,262473.0,3.6,-741831.0,-10.18,1004304.0,13.78,-113618.0,-1.56,-148854.0,-2.04,60,1.181,1.182,76356000.0,90252792,90252792,2024-11-11,2024-11-11 16:11:59+08:00
142,516590,智能汽车50ETF,1.012,1.0122,0.02,0.039,4.01,70830,7041628.0,0.97,1.013,0.964,0.973,5.04,6.5,0.69,-40.19,42983.0,27847.0,1779918.0,25.28,-487338.0,-6.92,2267256.0,32.2,-1126429.0,-16.0,-653489.0,-9.28,-10,1.012,1.013,109015000.0,110323180,110323180,2024-11-11,2024-11-11 16:12:02+08:00
143,588110,科创成长ETF,1.151,1.1535,0.22,0.044,3.97,362581,41104314.0,1.124,1.154,1.102,1.107,4.7,14.46,0.93,-16.45,193169.0,169412.0,2814908.0,6.85,1527587.0,3.72,1287321.0,3.13,-1817733.0,-4.42,-997176.0,-2.43,-95,1.153,1.154,250758000.0,288622458,288622458,2024-11-11,2024-11-11 16:11:39+08:00
144,159701,物联网ETF招商,0.864,0.8655,0.17,0.033,3.97,22820,1953709.64,0.836,0.868,0.836,0.831,3.85,8.24,1.26,22.41,11897.0,10923.0,217252.0,11.12,860827.0,44.06,-643575.0,-32.94,-153123.0,-7.84,-64131.0,-3.28,-11,0.864,0.866,27705601.0,23937639,23937639,2024-11-11,2024-11-11 15:34:57+08:00
145,159720,智能电车ETF泰康,0.683,0.684,0.15,0.026,3.96,58856,3950765.9,0.65,0.683,0.65,0.657,5.02,6.08,1.86,88.7,31010.0,27846.0,512280.0,12.97,0.0,0.0,512280.0,12.97,-321819.0,-8.15,-190460.0,-4.82,-8,0.665,0.684,96812357.0,66122840,66122840,2024-11-11,2024-11-11 15:34:30+08:00
146,159786,VRETF,0.925,0.9237,-0.14,0.035,3.93,123566,11295381.482,0.883,0.925,0.883,0.89,4.72,7.55,1.02,49.02,69223.0,54343.0,1108963.0,9.82,1427219.0,12.64,-318256.0,-2.82,-483686.0,-4.28,-625278.0,-5.54,820,0.924,0.925,163701174.0,151423586,151423586,2024-11-11,2024-11-11 15:34:48+08:00
